Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
12.08.2022 16:35:52,System.Runtime,Gen 2 Size (B),Metric,0
12.08.2022 16:35:52,System.Runtime,LOH Size (B),Metric,0
12.08.2022 16:35:52,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
12.08.2022 16:35:52,System.Runtime,Number of Assemblies Loaded,Metric,15
12.08.2022 16:35:52,System.Runtime,IL Bytes Jitted (B),Metric,18828
12.08.2022 16:35:52,System.Runtime,Number of Methods Jitted,Metric,109
12.08.2022 16:35:52,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,2.8319999999999936
12.08.2022 16:35:53,System.Runtime,CPU Usage (%),Metric,1
12.08.2022 16:35:53,System.Runtime,Working Set (MB),Metric,47
12.08.2022 16:35:53,System.Runtime,GC Heap Size (MB),Metric,2
12.08.2022 16:35:53,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,ThreadPool Thread Count,Metric,2
12.08.2022 16:35:53,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:53,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,Allocation Rate (B / 1 sec),Rate,1376400
12.08.2022 16:35:53,System.Runtime,Number of Active Timers,Metric,1
12.08.2022 16:35:53,System.Runtime,GC Fragmentation (%),Metric,0
12.08.2022 16:35:53,System.Runtime,GC Committed Bytes (MB),Metric,0
12.08.2022 16:35:53,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:53,System.Runtime,% Time in GC since last GC (%),Metric,0
12.08.2022 16:35:53,System.Runtime,Gen 0 Size (B),Metric,0
12.08.2022 16:35:53,System.Runtime,Gen 1 Size (B),Metric,0
12.08.2022 16:35:53,System.Runtime,Gen 2 Size (B),Metric,0
12.08.2022 16:35:53,System.Runtime,LOH Size (B),Metric,0
12.08.2022 16:35:53,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
12.08.2022 16:35:53,System.Runtime,Number of Assemblies Loaded,Metric,54
12.08.2022 16:35:53,System.Runtime,IL Bytes Jitted (B),Metric,99103
12.08.2022 16:35:53,System.Runtime,Number of Methods Jitted,Metric,1705
12.08.2022 16:35:53,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,164.6749
12.08.2022 16:35:54,System.Runtime,CPU Usage (%),Metric,19
12.08.2022 16:35:54,System.Runtime,Working Set (MB),Metric,70
12.08.2022 16:35:54,System.Runtime,GC Heap Size (MB),Metric,11
12.08.2022 16:35:54,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,10
12.08.2022 16:35:54,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,1
12.08.2022 16:35:54,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:54,System.Runtime,ThreadPool Thread Count,Metric,19
12.08.2022 16:35:54,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,1
12.08.2022 16:35:54,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:54,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,118949
12.08.2022 16:35:54,System.Runtime,Allocation Rate (B / 1 sec),Rate,130947176
12.08.2022 16:35:54,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:54,System.Runtime,GC Fragmentation (%),Metric,15.098458308565936
12.08.2022 16:35:54,System.Runtime,GC Committed Bytes (MB),Metric,15
12.08.2022 16:35:54,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:54,System.Runtime,% Time in GC since last GC (%),Metric,0
12.08.2022 16:35:54,System.Runtime,Gen 0 Size (B),Metric,540232
12.08.2022 16:35:54,System.Runtime,Gen 1 Size (B),Metric,199304
12.08.2022 16:35:54,System.Runtime,Gen 2 Size (B),Metric,1378096
12.08.2022 16:35:54,System.Runtime,LOH Size (B),Metric,964272
12.08.2022 16:35:54,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:54,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:54,System.Runtime,IL Bytes Jitted (B),Metric,212316
12.08.2022 16:35:54,System.Runtime,Number of Methods Jitted,Metric,3436
12.08.2022 16:35:54,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,233.4341
12.08.2022 16:35:55,System.Runtime,CPU Usage (%),Metric,29
12.08.2022 16:35:55,System.Runtime,Working Set (MB),Metric,71
12.08.2022 16:35:55,System.Runtime,GC Heap Size (MB),Metric,12
12.08.2022 16:35:55,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,16
12.08.2022 16:35:55,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:55,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:55,System.Runtime,ThreadPool Thread Count,Metric,24
12.08.2022 16:35:55,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:35:55,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:55,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,178843
12.08.2022 16:35:55,System.Runtime,Allocation Rate (B / 1 sec),Rate,198518456
12.08.2022 16:35:55,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:55,System.Runtime,GC Fragmentation (%),Metric,5.812391708507759
12.08.2022 16:35:55,System.Runtime,GC Committed Bytes (MB),Metric,15
12.08.2022 16:35:55,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:55,System.Runtime,% Time in GC since last GC (%),Metric,1
12.08.2022 16:35:55,System.Runtime,Gen 0 Size (B),Metric,242576
12.08.2022 16:35:55,System.Runtime,Gen 1 Size (B),Metric,496960
12.08.2022 16:35:55,System.Runtime,Gen 2 Size (B),Metric,1378096
12.08.2022 16:35:55,System.Runtime,LOH Size (B),Metric,964272
12.08.2022 16:35:55,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:55,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:55,System.Runtime,IL Bytes Jitted (B),Metric,258906
12.08.2022 16:35:55,System.Runtime,Number of Methods Jitted,Metric,4095
12.08.2022 16:35:55,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,211.12350000000004
12.08.2022 16:35:56,System.Runtime,CPU Usage (%),Metric,31
12.08.2022 16:35:56,System.Runtime,Working Set (MB),Metric,72
12.08.2022 16:35:56,System.Runtime,GC Heap Size (MB),Metric,5
12.08.2022 16:35:56,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,21
12.08.2022 16:35:56,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:56,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:56,System.Runtime,ThreadPool Thread Count,Metric,30
12.08.2022 16:35:56,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,3
12.08.2022 16:35:56,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:56,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,223707
12.08.2022 16:35:56,System.Runtime,Allocation Rate (B / 1 sec),Rate,252814992
12.08.2022 16:35:56,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:56,System.Runtime,GC Fragmentation (%),Metric,0.7711752592574325
12.08.2022 16:35:56,System.Runtime,GC Committed Bytes (MB),Metric,15
12.08.2022 16:35:56,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:56,System.Runtime,% Time in GC since last GC (%),Metric,1
12.08.2022 16:35:56,System.Runtime,Gen 0 Size (B),Metric,36880
12.08.2022 16:35:56,System.Runtime,Gen 1 Size (B),Metric,783776
12.08.2022 16:35:56,System.Runtime,Gen 2 Size (B),Metric,1378096
12.08.2022 16:35:56,System.Runtime,LOH Size (B),Metric,964272
12.08.2022 16:35:56,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:56,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:56,System.Runtime,IL Bytes Jitted (B),Metric,259625
12.08.2022 16:35:56,System.Runtime,Number of Methods Jitted,Metric,4103
12.08.2022 16:35:56,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,8.562999999999988
12.08.2022 16:35:57,System.Runtime,CPU Usage (%),Metric,34
12.08.2022 16:35:57,System.Runtime,Working Set (MB),Metric,69
12.08.2022 16:35:57,System.Runtime,GC Heap Size (MB),Metric,6
